negeri,parlimen,calon,parti/gabungan,undi,majoriti
sabah,kota kinabalu,CHAN FOONG HIN,Pakatan Harapan,31359,23783
sabah,kota kinabalu,YEO YAN YIN @ AMANDA,PARTI WARISAN SABAH,7576,
sabah,kota kinabalu,YEE TSAI YIEW,GABUNGAN RAKYAT SABAH,4592,
sabah,kota kinabalu,WINSTON LIAW KIT SIONG,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT,456,
sabah,kota kinabalu,MARCEL JUDE,BEBAS,137,
