negeri,parlimen,calon,parti/gabungan,undi,majoriti
sabah,sipitang,DATUK MATBALI BIN MUSAH,GABUNGAN RAKYAT SABAH,14459,4691
sabah,sipitang,ADNAN BIN OKK PUTEH,PARTI WARISAN SABAH,9768,
sabah,sipitang,LAHIRUL,Pakatan Harapan,4834,
