negeri,parlimen,calon,parti/gabungan,undi,majoriti
sarawak,sri aman,DORIS SOPHIA ANAK BRODI,Gabungan Parti Sarawak,14131,4039
sarawak,sri aman,WILSON ANAK ENTABANG,PARTI SARAWAK BERSATU,10092,
sarawak,sri aman,MASIR ANAK KUJAT,BEBAS,5673,
sarawak,sri aman,NAGA LIBAU @ TAY,Pakatan Harapan,2021,
