negeri,parlimen,calon,parti/gabungan,undi,majoriti
kelantan,tanah merah,DATO' SRI IKMAL HISHAM,PARTI PRIBUMI BERSATU MALAYSIA,54266,44485
kelantan,tanah merah,CIKGU BAKRI,Barisan Nasional,9781,
kelantan,tanah merah,DATO' D,Pakatan Harapan,5357,
kelantan,tanah merah,LAWYER NASIR ABDULLAH,PARTI BUMIPUTERA PERKASA MALAYSIA,168,
kelantan,tanah merah,DATUK NIK SAPEIA,BEBAS,114,
