negeri,parlimen,calon,parti/gabungan,undi,majoriti
wp kuala lumpur,segambut,HANNAH YEOH,Pakatan Harapan,68438,59684
wp kuala lumpur,segambut,PRABAGARAN ,Perikatan Nasional,8754,
wp kuala lumpur,segambut,DANIEL LING SIA CHIN,Barisan Nasional,8304,
