negeri,parlimen,calon,parti/gabungan,undi,majoriti
terengganu,kuala terengganu,DATUK HAJI AMZAD HASHIM,PARTI ISLAM SE-MALAYSIA,63016,40907
terengganu,kuala terengganu,DATO' CIKGU ZUBIR ,Barisan Nasional,22109,
terengganu,kuala terengganu,DATO' RAJA BAHRIN ,Pakatan Harapan,10946,
terengganu,kuala terengganu,MOHAMAD ABU BAKAR BIN MUDA,PARTI PEJUANG TANAHAIR,481,
