negeri,parlimen,calon,parti/gabungan,undi,majoriti
sarawak,puncak borneo,WILLIE ANAK MONGIN,Gabungan Parti Sarawak,29457,13338
sarawak,puncak borneo,DIOG ANAK DIOS,Pakatan Harapan,16119,
sarawak,puncak borneo,IANA ANAK AKAM,PARTI SARAWAK BERSATU,5578,
