negeri,parlimen,calon,parti/gabungan,undi,majoriti
johor,pagoh,TAN SRI MUHYIDDIN BIN MD YASIN,Perikatan Nasional,24986,10007
johor,pagoh,ISKANDAR SHAH,Pakatan Harapan,14979,
johor,pagoh,DATUK SERI RAZALI IBRAHIM,Barisan Nasional,14426,
