negeri,parlimen,calon,parti/gabungan,undi,majoriti
pahang,rompin,DATO' KHALIB,Perikatan Nasional,31589,1438
pahang,rompin,DATO' SRI HAJI HASAN BIN ARIFIN,Barisan Nasional,30151,
pahang,rompin,ERMAN SHAH JAIOS,Pakatan Harapan,4779,
pahang,rompin,HAMIZI BIN HUSSAIN,BEBAS,408,
