negeri,parlimen,calon,parti/gabungan,undi,majoriti
johor,pontian,DATUK SERI AHMAD MASLAN,Barisan Nasional,23201,5758
johor,pontian,CIKGU ISA BIN AB HAMID,Perikatan Nasional,17443,
johor,pontian,SHAZWAN ZDAINAL,Pakatan Harapan,15901,
johor,pontian,JAMALUDDIN MOHAMAD,PARTI PEJUANG TANAHAIR,306,
