negeri,parlimen,calon,parti/gabungan,undi,majoriti
johor,johor bahru,AKMAL NASIR,Pakatan Harapan,43252,16041
johor,johor bahru,JOHAN ROPI,Barisan Nasional,27211,
johor,johor bahru,MOHTAJ,Perikatan Nasional,22075,
johor,johor bahru,HAIRY MAHMOOD,PARTI PEJUANG TANAHAIR,1855,
