negeri,parlimen,calon,parti/gabungan,undi,majoriti
wp kuala lumpur,seputeh,TERESA KOK,Pakatan Harapan,73234,67187
wp kuala lumpur,seputeh,WONG YEE YENG,Perikatan Nasional,6047,
wp kuala lumpur,seputeh,LEE KAH HING,Barisan Nasional,6032,
wp kuala lumpur,seputeh,LEE WAI HONG,BEBAS,1276,
wp kuala lumpur,seputeh,CHOY SAN YEH,BEBAS,865,
