negeri,parlimen,calon,parti/gabungan,undi,majoriti
sarawak,bintulu,DATO SRI TIONG KING SING,Gabungan Parti Sarawak,43455,22168
sarawak,bintulu,CHIEW CHAN YEW,PARTI TINDAKAN DEMOKRATIK,21287,
sarawak,bintulu,DUKE ANAK JANTENG,Perikatan Nasional,5650,
