negeri,parlimen,calon,parti/gabungan,undi,majoriti
perak,teluk intan,NGA KOR MING,Pakatan Harapan,33133,15169
perak,teluk intan,ZAINOL FADZI PAHARUDIN,Perikatan Nasional,17964,
perak,teluk intan,DATO T. MURUGIAH,Barisan Nasional,12304,
perak,teluk intan,AMIR KHUSYAIRI BIN MOHAMAD TANUSI,PARTI PEJUANG TANAHAIR,793,
