negeri,parlimen,calon,parti/gabungan,undi,majoriti
kelantan,kubang kerian,USTAZ DATO' TUAN IBRAHIM,PARTI ISLAM SE-MALAYSIA,55654,40847
kelantan,kubang kerian,KAK LONG,Barisan Nasional,14807,
kelantan,kubang kerian,DR.WAN AHMAD KAMIL,Pakatan Harapan,10236,
kelantan,kubang kerian,MOHAMAD RIZAL BIN RAZALI,PARTI PEJUANG TANAHAIR,687,
