negeri,parlimen,calon,parti/gabungan,undi,majoriti
wp putrajaya,putrajaya,DR. RADZI JIDIN (DRJ),Perikatan Nasional,16002,2310
wp putrajaya,putrajaya,TENGKU ADNAN BIN TENGKU MANSOR,Barisan Nasional,13692,
wp putrajaya,putrajaya,NORAISHAH MYDIN BINTI HAJI ABDUL AZIZ,Pakatan Harapan,5988,
wp putrajaya,putrajaya,DATO' MOHD ROSLI BIN RAMLI,PARTI PEJUANG TANAHAIR,878,
wp putrajaya,putrajaya,SAMSUDIN PKPKL,BEBAS,63,
wp putrajaya,putrajaya,LIM FICE BEE,BEBAS,20,
