negeri,parlimen,calon,parti/gabungan,undi,majoriti
selangor,ampang,RODZIAH ISMAIL,Pakatan Harapan,56754,29681
selangor,ampang,SASHA LYNA BINTI ABDUL LATIF,Perikatan Nasional,27073,
selangor,ampang,IVONE LOW YI WEN,Barisan Nasional,11509,
selangor,ampang,ZURAIDA BINTI KAMARUDDIN ,PARTI BANGSA MALAYSIA,4589,
selangor,ampang,DR. NURUL ASHIKIN,PARTI PEJUANG TANAHAIR,2653,
selangor,ampang,BRYAN LAI,PARTI WARISAN SABAH,1423,
selangor,ampang,MUHAMMAD SHAFIQ IZWAN BIN MOHD YUNOS,BEBAS,188,
selangor,ampang,M.RAVEEN,BEBAS,148,
selangor,ampang,TAN HUA MENG,BEBAS,93,
