negeri,parlimen,calon,parti/gabungan,undi,majoriti
kelantan,kota bharu,DATUK SERI TAKIYUDDIN HASSAN,PARTI ISLAM SE-MALAYSIA,41869,22613
kelantan,kota bharu,DR HAFIDZAH MUSTAKIM,Pakatan Harapan,19256,
kelantan,kota bharu,HJ. ROSMADI ISMAIL,Barisan Nasional,16168,
kelantan,kota bharu,PROF. DATO DR CHE MUSA CHE OMAR,PARTI BUMIPUTERA PERKASA MALAYSIA,528,
kelantan,kota bharu,ANDY TAN @ AWANG,PARTI RAKYAT MALAYSIA,107,
kelantan,kota bharu,IZAT BUKHARY,BEBAS,91,
