negeri,parlimen,calon,parti/gabungan,undi,majoriti
sarawak,petra jaya,FADILLAH BIN YUSOF,Gabungan Parti Sarawak,54745,41363
sarawak,petra jaya,SOPIAN JULAIHI,Pakatan Harapan,13382,
sarawak,petra jaya,OTHMAN BIN ABDILLAH,PARTI SEDAR RAKYAT SARAWAK,1036,
