negeri,parlimen,calon,parti/gabungan,undi,majoriti
kelantan,bachok,SYAHIR SULAIMAN,PARTI ISLAM SE-MALAYSIA,57130,29901
kelantan,bachok,DATUK HAJI ZAIN BIN YASIM,Barisan Nasional,27229,
kelantan,bachok,NOR AZMIZA MAMAT,Pakatan Harapan,4366,
kelantan,bachok,HAJI ZU,BEBAS,418,
kelantan,bachok,CIKGU ZAM,PARTI BUMIPUTERA PERKASA MALAYSIA,274,
