negeri,parlimen,calon,parti/gabungan,undi,majoriti
perak,padang rengas,KAPTEN AZAHARI BIN HASAN,Perikatan Nasional,12931,3046
perak,padang rengas,MOHD ARRIF BIN ABDUL MAJID,Barisan Nasional,9885,
perak,padang rengas,KAMIL MUNIM,Pakatan Harapan,7062,
