negeri,parlimen,calon,parti/gabungan,undi,majoriti
terengganu,kemaman,USTAZ CHE ALIAS HAMID,PARTI ISLAM SE-MALAYSIA,65714,27179
terengganu,kemaman,DATO' SERI HJ AHMAD BIN SAID,Barisan Nasional,38535,
terengganu,kemaman,HASUNI BIN SUDIN,Pakatan Harapan,8340,
terengganu,kemaman,ROSLI BIN AB GHANI,PARTI PEJUANG TANAHAIR,506,
