negeri,parlimen,calon,parti/gabungan,undi,majoriti
wp kuala lumpur,bandar tun razak,DATO' SERI DR WAN AZIZAH BINTI WAN ISMAIL,Pakatan Harapan,43476,9817
wp kuala lumpur,bandar tun razak,DATO KAMARUDIN JAFFAR,Perikatan Nasional,33659,
wp kuala lumpur,bandar tun razak,DATUK CHEW YIN KEEN,Barisan Nasional,15886,
