negeri,parlimen,calon,parti/gabungan,undi,majoriti
sarawak,lubok antu,ROY ANGAU ANAK GINGKOI,Gabungan Parti Sarawak,6644,100
sarawak,lubok antu,JOHNICHAL RAYONG NGIPA,PARTI SARAWAK BERSATU,6544,
sarawak,lubok antu,JUGAH MUYANG,Perikatan Nasional,5360,
sarawak,lubok antu,LANGGA LIAS,Pakatan Harapan,746,
