negeri,parlimen,calon,parti/gabungan,undi,majoriti
sarawak,kota samarahan,DATUK HJH RUBIAH BINTI WANG,Gabungan Parti Sarawak,42278,29445
sarawak,kota samarahan,ABANG HALIL,Pakatan Harapan,12833,
