negeri,parlimen,calon,parti/gabungan,undi,majoriti
wp kuala lumpur,wangsa maju,ZAHIR HASSAN,Pakatan Harapan,46031,20696
wp kuala lumpur,wangsa maju,USTAZAH NURIDAH ,Perikatan Nasional,25335,
wp kuala lumpur,wangsa maju,SHAFEI ABDULLAH,Barisan Nasional,19595,
wp kuala lumpur,wangsa maju,NORZAILA ,PARTI PEJUANG TANAHAIR,987,
wp kuala lumpur,wangsa maju,WEE CHOO KEONG,PARTI WARISAN SABAH,576,
wp kuala lumpur,wangsa maju,RAVEE SUNTHERALINGAM,BEBAS,216,
