negeri,parlimen,calon,parti/gabungan,undi,majoriti
selangor,hulu selangor,HASNIZAN HARUN,Perikatan Nasional,46823,1562
selangor,hulu selangor,DR. SATHIA PRAKASH NADARAJAN,Pakatan Harapan,45261,
selangor,hulu selangor,DATUK T.MOHAN,Barisan Nasional,27050,
selangor,hulu selangor,HARUMAINI BIN HAJI OMAR,PARTI PEJUANG TANAHAIR,1849,
selangor,hulu selangor,HANIZA TALHA,PARTI BANGSA MALAYSIA,1013,
selangor,hulu selangor,AZLINDA BINTI BARONI,BEBAS,446,
