negeri,parlimen,calon,parti/gabungan,undi,majoriti
selangor,pandan,RAFIZI RAMLI,Pakatan Harapan,74002,48296
selangor,pandan,FARIQUE ZUBIR,Perikatan Nasional,25706,
selangor,pandan,LEONG KOK WEE,Barisan Nasional,11664,
selangor,pandan,ONG TEE KEAT,PARTI WARISAN SABAH,3323,
selangor,pandan,NADIA HANAFIAH,PARTI PEJUANG TANAHAIR,961,
