negeri,parlimen,calon,parti/gabungan,undi,majoriti
perak,parit,USTAZ ISMI MAT TAIB,Perikatan Nasional,17181,2155
perak,parit,DATO' NIZAR,Barisan Nasional,15026,
perak,parit,NURTHAQAFFAH NORDIN,Pakatan Harapan,5063,
perak,parit,DR. FAIZOL FADZLI,PARTI PEJUANG TANAHAIR,275,
