negeri,parlimen,calon,parti/gabungan,undi,majoriti
selangor,sungai buloh,RAMANAN RAMAKRISHNAN,Pakatan Harapan,50943,2693
selangor,sungai buloh,KHAIRY JAMALUDDIN ABU BAKAR,Barisan Nasional,48250,
selangor,sungai buloh,HJ MOHD GHAZALI BIN MD HAMIN,Perikatan Nasional,29060,
selangor,sungai buloh,AKMAL YUSOFF,PARTI PEJUANG TANAHAIR,829,
selangor,sungai buloh,AHMAD JUFLIZ,PARTI RAKYAT MALAYSIA,279,
selangor,sungai buloh,SYED RAZAK ALSAGOFF,BEBAS,165,
selangor,sungai buloh,SIFU LINDA,BEBAS,113,
