negeri,parlimen,calon,parti/gabungan,undi,majoriti
johor,sembrong,HISHAMMUDDIN HUSSEIN,Barisan Nasional,22572,10880
johor,sembrong,HASNI ABAS,Pakatan Harapan,11692,
johor,sembrong,JOE AZIZ,Perikatan Nasional,6666,
