negeri,parlimen,calon,parti/gabungan,undi,majoriti
selangor,subang,WONG CHEN,Pakatan Harapan,138259,115074
selangor,subang,ALEX ANG H N,Perikatan Nasional,23185,
selangor,subang,DR KOW CHEONG WEI,Barisan Nasional,16539,
