negeri,parlimen,calon,parti/gabungan,undi,majoriti
selangor,kota raja,MOHD SABU,Pakatan Harapan,123306,73998
selangor,kota raja,HAJI MOHAMED DIAH BAHARUN,Perikatan Nasional,49308,
selangor,kota raja,KAJENDRAN A/L DORAISAMY,Barisan Nasional,22225,
selangor,kota raja,FAHMI BAZLAN MUDA,PARTI PEJUANG TANAHAIR,2063,
selangor,kota raja,SARAH AFIQAH,PARTI RAKYAT MALAYSIA,360,
selangor,kota raja,P.RAVEENTHARAN A/L A.PERIASAMY,BEBAS,209,
selangor,kota raja,KUMAR KARANANEDI,BEBAS,163,
selangor,kota raja,SURENDHAR SELVARAJU,BEBAS,106,
