negeri,parlimen,calon,parti/gabungan,undi,majoriti
kedah,padang terap,USTAZ NURUL AMIN,Perikatan Nasional,28217,10959
kedah,padang terap,MAHDZIR BIN KHALID,Barisan Nasional,17258,
kedah,padang terap,MUAZ ABDULLAH,Pakatan Harapan,2702,
kedah,padang terap,RAZALI BIN LEBAI SALLEH,PARTI PEJUANG TANAHAIR,452,
