negeri,parlimen,calon,parti/gabungan,undi,majoriti
kedah,merbok,MOHD NAZRI BIN ABU HASSAN,Perikatan Nasional,52573,21019
kedah,merbok,NURIN AINA,Pakatan Harapan,31554,
kedah,merbok,DATO' SHAIFUL HAZIZY,Barisan Nasional,16691,
kedah,merbok,DATUK MOSIN RAZAK,PARTI PEJUANG TANAHAIR,1201,
kedah,merbok,KHAIRUL ANUAR ,PARTI WARISAN SABAH,525,
